equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
ROK,HG=F front-month (matched HGZ26.CMX window),1.0,90,2021-09-29,2026-04-28,1149,0.1486219585041022,False,0.34130431344154966,,130,0.04473697269961644,0.1743896206207783,0.36609213227585696,0.6978509535156688,0.8057324110036885,24,0.028828938781730495,True,0.25538055155592015,0.039436732861421575
TEL,HGZ26.CMX level,35.61,30,2021-09-29,2026-04-28,1149,0.16057497379579694,False,0.34130431344154966,,130,0.317708520926207,0.00931159720314225,0.09811793752667838,0.12600086084440512,0.07119840185736792,18,0.005831882248094789,True,0.2523499704615635,0.04276855401352786
TEL,HGZ26.CMX spread,35.61,30,2021-09-29,2026-04-28,1149,0.8391973421838947,False,0.9301946443484135,0.0426,130,0.4005269841272976,0.6848983184769093,0.9602198330699951,0.9950711298850314,0.9985679127218728,1,0.18829924585753377,False,-0.00011158519160703372,4.713146370904919e-05
TEL,HG=F front-month (matched HGZ26.CMX window),1.0,30,2021-09-29,2026-04-28,1149,0.18383430570836123,False,0.3523490859410257,,130,0.16867604003044118,0.010480742020959475,0.05510089515609319,0.11758942550744776,0.11596368753457019,19,0.006557933154912559,True,0.21479483503582472,0.03997837849529129
TEL,HGZ26.CMX level,35.61,60,2021-09-29,2026-04-28,1149,0.16057497379579694,False,0.34130431344154966,,130,0.317708520926207,0.00931159720314225,0.09811793752667838,0.12600086084440512,0.07119840185736792,18,0.005831882248094789,True,0.13940162023314298,0.012587374296129217
TEL,HGZ26.CMX spread,35.61,60,2021-09-29,2026-04-28,1149,0.8391973421838947,False,0.9301946443484135,0.0426,130,0.4005269841272976,0.6848983184769093,0.9602198330699951,0.9950711298850314,0.9985679127218728,1,0.18829924585753377,False,0.0006020886361953702,0.0014824015479999453
TEL,HG=F front-month (matched HGZ26.CMX window),1.0,60,2021-09-29,2026-04-28,1149,0.18383430570836123,False,0.3523490859410257,,130,0.16867604003044118,0.010480742020959475,0.05510089515609319,0.11758942550744776,0.11596368753457019,19,0.006557933154912559,True,0.15333093991493688,0.019972198356965065
TEL,HGZ26.CMX level,35.61,90,2021-09-29,2026-04-28,1149,0.16057497379579694,False,0.34130431344154966,,130,0.317708520926207,0.00931159720314225,0.09811793752667838,0.12600086084440512,0.07119840185736792,18,0.005831882248094789,True,0.128821602016898,0.008380677059770525
TEL,HGZ26.CMX spread,35.61,90,2021-09-29,2026-04-28,1149,0.8391973421838947,False,0.9301946443484135,0.0426,130,0.4005269841272976,0.6848983184769093,0.9602198330699951,0.9950711298850314,0.9985679127218728,1,0.18829924585753377,False,0.00013762551668929416,5.8126085815679573e-05
TEL,HG=F front-month (matched HGZ26.CMX window),1.0,90,2021-09-29,2026-04-28,1149,0.18383430570836123,False,0.3523490859410257,,130,0.16867604003044118,0.010480742020959475,0.05510089515609319,0.11758942550744776,0.11596368753457019,19,0.006557933154912559,True,0.1650806277539443,0.01826104070998913
ROK,HGZ27.CMX level,41.6,30,2022-09-29,2026-04-27,896,0.1171450377725396,False,0.34130431344154966,,130,0.0901249407575517,0.13998033044325242,0.6299296046017275,0.9269743235119494,0.9547766884664317,13,0.05725688466747459,False,0.29723639883350605,0.042657874299471654
ROK,HGZ27.CMX spread,41.6,30,2022-09-29,2026-04-27,896,0.13553563022708537,False,0.34130431344154966,0.5186,130,0.8257511392190198,0.9652227285767334,0.18284563816396213,0.26426904259650735,0.6047538151498735,64,0.1277086433061865,False,3.4442768229043287e-05,4.69775551303897e-06
ROK,HG=F front-month (matched HGZ27.CMX window),1.0,30,2022-09-29,2026-04-27,896,0.1057342024824594,False,0.34130431344154966,,130,0.05488835808406065,0.14701790342053475,0.727432800471223,0.8238562553377736,0.892236278939291,4,0.041166757672581364,True,0.2402440963780999,0.03788993449569178
ROK,HGZ27.CMX level,41.6,60,2022-09-29,2026-04-27,896,0.1171450377725396,False,0.34130431344154966,,130,0.0901249407575517,0.13998033044325242,0.6299296046017275,0.9269743235119494,0.9547766884664317,13,0.05725688466747459,False,0.2853505918125489,0.04108676450232718
ROK,HGZ27.CMX spread,41.6,60,2022-09-29,2026-04-27,896,0.13553563022708537,False,0.34130431344154966,0.5186,130,0.8257511392190198,0.9652227285767334,0.18284563816396213,0.26426904259650735,0.6047538151498735,64,0.1277086433061865,False,0.00021137740844194374,0.00021870190238348908
ROK,HG=F front-month (matched HGZ27.CMX window),1.0,60,2022-09-29,2026-04-27,896,0.1057342024824594,False,0.34130431344154966,,130,0.05488835808406065,0.14701790342053475,0.727432800471223,0.8238562553377736,0.892236278939291,4,0.041166757672581364,True,0.25136812410266635,0.0420661608728613
ROK,HGZ27.CMX level,41.6,90,2022-09-29,2026-04-27,896,0.1171450377725396,False,0.34130431344154966,,130,0.0901249407575517,0.13998033044325242,0.6299296046017275,0.9269743235119494,0.9547766884664317,13,0.05725688466747459,False,0.03697678403049788,0.0007004761061780718
